criterio,exponente,precision,tiempo (ticks)
vector residual,3.5,6281.585114983867,0.2233710000000002
vector residual,4.2,18296.75087471988,0.2350999999999992
vector residual,4.2,38638.535487254274,0.2612389999999998
vector residual,4.2,63830.3669634774,0.26527499999999904
vector residual,4.2,77335.02612549036,0.2642029999999984
vector residual,4.2,50058.49889034246,0.24410900000000169
vector residual,4.2,29022.250654446714,0.26463700000000046
vector residual,4.2,41612.57586268215,0.26441600000000065
vector residual,4.2,31605.510740001613,0.2445239999999984
vector residual,4.2,60626.88968200203,0.24404600000000087
vector residual,4.2,48719.813236695605,0.2641259999999974
vector residual,4.9,453884.91190830054,0.27841199999999944
vector residual,4.9,204945.66850567117,0.28220699999999965
vector residual,4.9,90140.03549789706,0.2643790000000017
vector residual,4.9,312198.8804492009,0.26530400000000043
vector residual,4.9,90888.47767393193,0.2644169999999981
vector residual,4.9,85014.1108372187,0.2644219999999997
vector residual,4.9,372146.93402566545,0.3033110000000008
vector residual,4.9,244590.66656382382,0.28525000000000134
vector residual,4.9,349399.1195253756,0.28467799999999954
vector residual,4.9,245419.7913271412,0.28451199999999943
vector residual,5.6,1644936.5595845769,0.2938340000000004
vector residual,5.6,502579.2169849426,0.26243700000000203
vector residual,5.6,475184.74850351125,0.2645549999999979
vector residual,5.6,1065904.9871466514,0.2643609999999974
vector residual,5.6,1887071.539725225,0.3057969999999983
vector residual,5.6,645092.5930314105,0.2849359999999983
vector residual,5.6,577959.9690502414,0.28462999999999994
vector residual,5.6,2239434.1791367577,0.26140200000000036
vector residual,5.6,896850.7598609688,0.2830869999999983
vector residual,5.6,580412.8750370477,0.3009909999999998
vector residual,6.3,7671960.622142487,0.2987419999999972
vector residual,6.3,9524250.176110191,0.3031130000000033
vector residual,6.3,7378621.74176653,0.30747100000000316
vector residual,6.3,7304574.623010622,0.30090099999999964
vector residual,6.3,6956350.877003242,0.3659370000000024
vector residual,6.3,2390520.069072411,0.3259539999999994
vector residual,6.3,7849887.548139448,0.30201100000000025
vector residual,6.3,4524068.115531118,0.305416000000001
vector residual,6.3,10745676.85786051,0.34607600000000005
vector residual,6.3,8467737.863019347,0.32552300000000045
vector residual,7.0,31686182.312410645,0.29992400000000075
vector residual,7.0,14389804.261182481,0.34410700000000105
vector residual,7.0,17482009.60271231,0.32577300000000164
vector residual,7.0,52285257.87212025,0.3054690000000022
vector residual,7.0,21696613.700691044,0.32363300000000095
vector residual,7.0,31715358.375755,0.3050740000000012
vector residual,7.0,18573199.907773465,0.32589100000000215
vector residual,7.0,46812638.73444194,0.3206409999999984
vector residual,7.0,43400207.5086697,0.30548399999999987
vector residual,7.0,16093775.85150028,0.3251509999999982
vector residual,7.7,88532868.6966518,0.3381919999999994
vector residual,7.7,157039883.983613,0.3469739999999959
vector residual,7.7,278736893.1447751,0.3668400000000034
vector residual,7.7,191140979.2596871,0.36630300000000204
vector residual,7.7,73659338.3520249,0.3416819999999987
