,acc,alpha,k,n_train,time_fit,time_predict
45,0.6549800796812749,100,100,3735,5.624899998224464e-05,10.64793151500001
46,0.6543426294820717,100,100,3423,6.390499999042731e-05,10.089734554999978
47,0.650996015936255,100,100,3112,6.45650000024034e-05,9.730254135999985
48,0.6513147410358566,100,100,2801,5.4943000009188836e-05,9.482068060000017
49,0.6317131474103586,100,100,2490,7.038799998326795e-05,8.608665505999994
50,0.6514741035856574,100,100,2178,6.234100001734078e-05,8.351795407999987
51,0.6398406374501993,100,100,1867,6.463900001563161e-05,6.474417520999992
52,0.6634262948207171,100,100,1556,0.00010309999998980857,7.793729379000013
53,0.6277290836653386,100,100,1245,6.449700003940961e-05,7.154782764999993
54,0.6307569721115538,100,100,933,6.583199996157418e-05,2.4595662159999847
55,0.5964940239043824,100,100,622,6.176099998356221e-05,3.8671598280000126
56,0.5990438247011952,100,100,311,7.278300000734816e-05,4.150824372000045
57,0.6559362549800797,100,100,5913,6.196800001134761e-05,12.330293036
58,0.6567330677290837,100,100,5602,6.38970000181871e-05,13.348494764999998
59,0.6449402390438247,100,100,5291,6.738200005429462e-05,12.590537240000003
60,0.6578486055776892,100,100,4980,6.606499999861626e-05,11.738018356999987
61,0.6511553784860558,100,100,4668,6.0517999997955485e-05,11.16836718799999
62,0.6465338645418327,100,100,4357,5.9140000018942374e-05,10.315578760999983
63,0.6427091633466135,100,100,4046,5.6311000037112535e-05,10.62123984599998
64,0.6420717131474104,100,100,3735,6.088699996098512e-05,9.089306585999964
65,0.6291633466135458,100,100,3423,5.6985000014719844e-05,11.073029666000025
66,0.6546613545816733,100,100,3112,5.3008000008958334e-05,10.069928211000047
67,0.6401593625498008,100,100,2801,5.954200003088772e-05,9.654802530999973
68,0.6417529880478088,100,100,2490,5.6564999965758034e-05,8.764736938999988
69,0.6471713147410358,100,100,2178,6.63190000409486e-05,8.236911540999984
70,0.6321912350597609,100,100,1867,5.69670000345468e-05,8.649831054999993
71,0.6291633466135458,100,100,1556,5.8271999989756296e-05,8.230721669000047
72,0.6310756972111554,100,100,1245,5.457699998601129e-05,7.231704753999992
73,0.6106772908366533,100,100,933,5.561099999340513e-05,3.410343004000026
74,0.5977689243027888,100,100,622,6.53079999892725e-05,3.7417346560000055
75,0.5990438247011952,100,100,311,5.670500001997425e-05,2.9155192530000136
76,0.659601593625498,100,100,5913,7.198200000857469e-05,14.114421340000035
77,0.6586454183266932,100,100,5602,6.853099995396406e-05,13.381103676999999
78,0.6578486055776892,100,100,5291,6.913000004260539e-05,13.090524775999995
79,0.6578486055776892,100,100,4980,5.8693000028142706e-05,11.45859142300003
80,0.6513147410358566,100,100,4668,6.175199996505398e-05,10.70668109899998
81,0.6460557768924303,100,100,4357,5.652100003317173e-05,10.605766316000029
82,0.6382470119521912,100,100,4046,6.805200001736011e-05,11.250211405000016
83,0.6425498007968128,100,100,3735,7.123299997147114e-05,10.650263850999977
84,0.6454183266932271,100,100,3423,5.602200002385871e-05,9.246231082999998
85,0.6463745019920318,100,100,3112,5.593100001988205e-05,10.034354079000025
86,0.6350597609561753,100,100,2801,5.8307000017521204e-05,9.284582852000028
87,0.6436653386454183,100,100,2490,5.784699999367149e-05,9.641691645000037
88,0.6457370517928287,100,100,2178,5.1455999994232116e-05,9.175872378999998
89,0.6218326693227092,100,100,1867,6.443199998784621e-05,8.476741758000003
90,0.6307569721115538,100,100,1556,5.8009000042602565e-05,6.415903209000021
91,0.6223107569721116,100,100,1245,7.440999996788378e-05,7.723864391000006
92,0.6076494023904383,100,100,933,6.775999997898907e-05,4.034016509999958
93,0.6184860557768924,100,100,622,5.9049999947546894e-05,3.9340031190000104
94,0.5588844621513944,100,100,311,5.686600002263731e-05,4.211776096999984
95,0.6600796812749004,100,100,5913,6.0733999987405696e-05,12.181989679000026
96,0.6487649402390439,100,100,5602,5.910700002687008e-05,13.94696476200005
97,0.6513147410358566,100,100,5291,5.9798999984650436e-05,11.308344694000027
98,0.6497211155378486,100,100,4980,5.7906999984425056e-05,12.452252232999967
99,0.6511553784860558,100,100,4668,5.554000000529413e-05,11.224822364000033
100,0.6521115537848605,100,100,4357,6.930600000032427e-05,10.565700614999969
101,0.6492430278884462,100,100,4046,5.7416000004195666e-05,11.071596400000033
102,0.6460557768924303,100,100,3735,6.128000006810908e-05,10.50337584500005
103,0.6559362549800797,100,100,3423,7.005900010881305e-05,11.129200433000051
104,0.6435059760956175,100,100,3112,5.678299999090086e-05,8.521526810999944
105,0.6409561752988048,100,100,2801,5.629800000406249e-05,9.05615611099995
106,0.6358565737051792,100,100,2490,7.008799991581327e-05,9.250115507000032
107,0.6497211155378486,100,100,2178,6.504500004211877e-05,6.528203929000028
108,0.6390438247011953,100,100,1867,6.62229999761621e-05,6.63598637900003
109,0.6379282868525896,100,100,1556,5.554299997356793e-05,6.542291035999995
110,0.6259760956175299,100,100,1245,5.5594999992081284e-05,6.106818333000035
111,0.6366533864541832,100,100,933,5.622800000537609e-05,4.749369054999988
112,0.6106772908366533,100,100,622,6.300500001543696e-05,4.0144018209999786
113,0.5917131474103585,100,100,311,5.657700000938348e-05,3.8853344210000387
114,0.6580079681274901,100,100,5913,5.7997999988401716e-05,12.835100962000013
115,0.6556175298804781,100,100,5602,5.9106999970026664e-05,13.532627501000036
116,0.6529083665338645,100,100,5291,5.4157000022314605e-05,12.18250927400004
117,0.6565737051792828,100,100,4980,6.238299999949959e-05,13.62519913999995
118,0.6576892430278884,100,100,4668,5.2894999953423394e-05,10.371784337999998
119,0.6549800796812749,100,100,4357,6.342299991501932e-05,11.880371310999976
120,0.6403187250996016,100,100,4046,5.581700003176593e-05,11.306022110000015
121,0.6476494023904382,100,100,3735,5.802399999765839e-05,10.347851375000005
122,0.6513147410358566,100,100,3423,5.734400002666007e-05,10.405450366000025
123,0.6328286852589642,100,100,3112,5.792600001086612e-05,9.520324312000014
124,0.6532270916334662,100,100,2801,6.28060000167352e-05,9.377874637999923
125,0.6371314741035856,100,100,2490,5.2993000053902506e-05,9.71650708900006
126,0.6449402390438247,100,100,2178,5.744999998569256e-05,8.585221182000055
127,0.6325099601593626,100,100,1867,5.568000005951035e-05,7.907615736000025
128,0.6291633466135458,100,100,1556,7.460299991635111e-05,8.062286309000001
129,0.6352191235059761,100,100,1245,5.7908999906430836e-05,7.410261985000034
130,0.6313944223107569,100,100,933,5.993900003886665e-05,3.7809613379999973
131,0.6157768924302789,100,100,622,5.729800000153773e-05,3.711915234999992
132,0.590597609561753,100,100,311,6.87490000359503e-05,3.961840483000003
133,0.6537051792828685,100,100,5913,6.609999996953775e-05,12.370841746999986
134,0.651792828685259,100,100,5602,6.96669999911137e-05,12.330474557999992
135,0.6581673306772908,100,100,5291,6.124000003637775e-05,12.129320494000012
136,0.6525896414342629,100,100,4980,7.220400004825933e-05,11.881234320999965
137,0.6449402390438247,100,100,4668,5.4205999958867324e-05,11.604084876000002
138,0.6498804780876494,100,100,4357,5.4639999916616944e-05,10.69044941200002
139,0.6538645418326693,100,100,4046,6.841499998699874e-05,10.797088521999967
140,0.6471713147410358,100,100,3735,5.554099993787531e-05,10.04542867500004
141,0.6350597609561753,100,100,3423,5.615700001726509e-05,11.294406850000087
142,0.6537051792828685,100,100,3112,5.951100001766463e-05,9.263399050999965
143,0.6503585657370518,100,100,2801,5.422100002760999e-05,9.463150718999941
144,0.6423904382470119,100,100,2490,7.174999996095721e-05,9.244772169000044
145,0.6474900398406375,100,100,2178,6.85420000081649e-05,8.72037509200004
146,0.6474900398406375,100,100,1867,6.846399992355146e-05,7.163875488000031
147,0.6541832669322709,100,100,1556,6.271500001275854e-05,7.0645208479999155
148,0.6162549800796813,100,100,1245,6.708299997626455e-05,6.6262411699999575
149,0.6269322709163346,100,100,933,6.172200005494233e-05,4.861107230000016
150,0.6036653386454184,100,100,622,6.335599994145014e-05,4.205606516000103
151,0.5690836653386454,100,100,311,5.593399998815585e-05,3.4822917449999977
152,0.654820717131474,100,100,5913,6.863100009013579e-05,12.444531643000005
153,0.6549800796812749,100,100,5602,5.53500000251006e-05,12.461131935000026
154,0.6591235059760956,100,100,5291,5.408200001966179e-05,11.442657267999948
155,0.6471713147410358,100,100,4980,5.8899000009660085e-05,11.602451083000005
156,0.6583266932270916,100,100,4668,5.549799993787019e-05,12.213636550000047
157,0.6414342629482072,100,100,4357,5.692100000942446e-05,10.726995258999978
158,0.6492430278884462,100,100,4046,6.009200001244608e-05,11.27336333300002
159,0.6476494023904382,100,100,3735,5.850699994880415e-05,10.47382646699998
160,0.6310756972111554,100,100,3423,5.7703000038600294e-05,10.071951883999986
161,0.6458964143426295,100,100,3112,5.7347000051777286e-05,9.259644449000007
162,0.6460557768924303,100,100,2801,5.7325000057062425e-05,10.11253780300001
163,0.6529083665338645,100,100,2490,5.96370000494062e-05,7.754494027999954
164,0.6388844621513944,100,100,2178,5.721599995922588e-05,7.286778237000021
165,0.6355378486055777,100,100,1867,4.520499999216554e-05,8.000019055999928
166,0.637609561752988,100,100,1556,6.319499993878708e-05,6.189812497999924
167,0.6221513944223107,100,100,1245,5.6973000027937815e-05,6.411549265000076
168,0.6422310756972112,100,100,933,6.540999993376317e-05,4.393369600000028
169,0.6181673306772908,100,100,622,6.718899999214045e-05,3.6120039569999562
170,0.5544223107569721,100,100,311,6.420199997592135e-05,4.100895949000005
171,0.6570517928286853,100,100,5913,6.141400001524744e-05,13.710159523000016
172,0.6575298804780877,100,100,5602,5.547799992200453e-05,12.610536074999914
173,0.6503585657370518,100,100,5291,5.9275000012348755e-05,12.646648687999914
174,0.6529083665338645,100,100,4980,5.8978000083698134e-05,11.300268267000092
175,0.6427091633466135,100,100,4668,5.652300001202093e-05,11.619682058999956
176,0.6552988047808765,100,100,4357,5.588299995906709e-05,11.571230151999998
177,0.6565737051792828,100,100,4046,4.122799998640403e-05,11.427470451999966
178,0.6450996015936254,100,100,3735,4.487199998948199e-05,10.398356046999993
179,0.6675697211155378,100,100,3423,5.881300000964984e-05,9.914107725999997
180,0.6492430278884462,100,100,3112,5.636499997763167e-05,8.948832089999996
181,0.6513147410358566,100,100,2801,6.770299989966588e-05,9.713735678000035
182,0.637609561752988,100,100,2490,6.381900004726049e-05,8.933319448999896
183,0.6371314741035856,100,100,2178,6.478900002093724e-05,9.041208374999997
184,0.6554581673306773,100,100,1867,8.73569999839674e-05,6.521336619999943
185,0.633784860557769,100,100,1556,8.420100004968845e-05,5.283050949999961
186,0.6266135458167331,100,100,1245,5.02830000641552e-05,6.420845198999928
187,0.5928286852589641,100,100,933,7.394299996121845e-05,4.099991785000043
188,0.5963346613545817,100,100,622,5.503199997747288e-05,4.028722971999969
189,0.559203187250996,100,100,311,7.2447999968972e-05,1.3703580639999018
