n,k,alpha,acc
2178,100,50,0.6549800796812749
2490,10,100,0.6143426294820717
2490,50,100,0.6321912350597609
2490,150,100,0.6366533864541832
2490,100,10,0.5713147410358566
2490,100,20,0.6049402390438247
2490,100,50,0.6318725099601593
2801,10,100,0.6066932270916334
2801,50,100,0.6371314741035856
2801,150,100,0.6489243027888446
2801,100,10,0.5851792828685259
2801,100,20,0.6154581673306773
2801,100,50,0.6452589641434263
3112,10,100,0.6143426294820717
3112,50,100,0.6450996015936254
3112,150,100,0.6538645418326693
3112,100,10,0.588207171314741
3112,100,20,0.6004780876494024
3112,100,50,0.6398406374501993
3423,10,100,0.6256573705179282
3423,50,100,0.6422310756972112
3423,150,100,0.6505179282868526
3423,100,10,0.5765737051792829
3423,100,20,0.6022310756972111
3423,100,50,0.6415936254980079
3735,10,100,0.6251792828685259
3735,50,100,0.6403187250996016
3735,150,100,0.6443027888446216
3735,100,10,0.578804780876494
3735,100,20,0.6065338645418327
3735,100,50,0.6379282868525896
4046,10,100,0.6207171314741036
4046,50,100,0.6476494023904382
4046,150,100,0.6500398406374502
4046,100,10,0.5843824701195219
4046,100,20,0.607011952191235
4046,100,50,0.6482868525896415
4357,10,100,0.6231075697211156
4357,50,100,0.6503585657370518
4357,150,100,0.6490836653386454
4357,100,10,0.5850199203187251
4357,100,20,0.6073306772908367
4357,100,50,0.6450996015936254
4668,10,100,0.6272509960159363
4668,50,100,0.6514741035856574
4668,150,100,0.6511553784860558
4668,100,10,0.5843824701195219
4668,100,20,0.6105179282868526
4668,100,50,0.6427091633466135
4980,10,100,0.6231075697211156
4980,50,100,0.6506772908366534
4980,150,100,0.6524302788844621
4980,100,10,0.5834262948207172
4980,100,20,0.6058964143426295
4980,100,50,0.6476494023904382
5291,10,100,0.6245418326693227
5291,50,100,0.6468525896414342
5291,150,100,0.6529083665338645
5291,100,10,0.5867729083665338
5291,100,20,0.6081274900398407
5291,100,50,0.648605577689243
5602,10,100,0.6237450199203187
5602,50,100,0.6514741035856574
5602,150,100,0.6516334661354581
5602,100,10,0.5904382470119522
5602,100,20,0.619601593625498
5602,100,50,0.6511553784860558
5913,10,100,0.6248605577689244
5913,50,100,0.6497211155378486
5913,150,100,0.6540239043824702
5913,100,10,0.5907569721115538
5913,100,20,0.6132270916334661
5913,100,50,0.6476494023904382
311,10,100,0.5781673306772909
311,50,100,0.6020717131474104
311,150,100,0.5587250996015937
311,100,10,0.5531474103585657
311,100,20,0.5673306772908366
311,100,50,0.5944223107569722
622,10,100,0.5773705179282869
622,50,100,0.6073306772908367
622,150,100,0.6371314741035856
622,100,10,0.567011952191235
622,100,20,0.5802390438247012
622,100,50,0.6159362549800796
933,10,100,0.5977689243027888
933,50,100,0.6132270916334661
933,150,100,0.6199203187250996
933,100,10,0.5826294820717132
933,100,20,0.5918725099601594
933,100,50,0.6184860557768924
1245,10,100,0.5921912350597609
1245,50,100,0.6095617529880478
1245,150,100,0.6160956175298805
1245,100,10,0.5772111553784861
1245,100,20,0.5993625498007968
1245,100,50,0.6148207171314741
1556,10,100,0.6011155378486056
1556,50,100,0.6283665338645419
1556,150,100,0.6261354581673306
1556,100,10,0.5721115537848606
1556,100,20,0.5929880478087649
1556,100,50,0.6242231075697211
1867,10,100,0.6151394422310758
1867,50,100,0.6256573705179282
1867,150,100,0.6256573705179282
1867,100,10,0.5756175298804781
1867,100,20,0.6105179282868526
