n,k,alpha,acc
4668,100,50,0.6411155378486055
4980,10,100,0.6299601593625498
4980,50,100,0.650199203187251
4980,150,100,0.6521115537848605
4980,100,10,0.5832669322709163
4980,100,20,0.6178486055776893
4980,100,50,0.6500398406374502
5291,10,100,0.6224701195219123
5291,50,100,0.6484462151394422
5291,150,100,0.6508366533864541
5291,100,10,0.5888446215139442
5291,100,20,0.6082868525896414
5291,100,50,0.6433466135458167
5602,10,100,0.6280478087649403
5602,50,100,0.6564143426294821
5602,150,100,0.6541832669322709
5602,100,10,0.5886852589641435
5602,100,20,0.6183266932270917
5602,100,50,0.6519521912350598
5913,10,100,0.6243824701195219
5913,50,100,0.6552988047808765
5913,150,100,0.6565737051792828
5913,100,10,0.591394422310757
5913,100,20,0.616414342629482
5913,100,50,0.6567330677290837
311,10,100,0.5727490039840637
311,50,100,0.580398406374502
311,150,100,0.5217529880478088
311,100,10,0.5223904382470119
311,100,20,0.5297211155378486
311,100,50,0.5373705179282868
622,10,100,0.5800796812749004
622,50,100,0.6039840637450199
622,150,100,0.6103585657370518
622,100,10,0.5646215139442231
622,100,20,0.5689243027888446
622,100,50,0.6031872509960159
933,10,100,0.5928286852589641
933,50,100,0.6098804780876494
933,150,100,0.6262948207171315
933,100,10,0.573386454183267
933,100,20,0.6033466135458168
933,100,50,0.6189641434262948
1245,10,100,0.6031872509960159
1245,50,100,0.6320318725099602
1245,150,100,0.6356972111553785
1245,100,10,0.5746613545816733
1245,100,20,0.5955378486055777
1245,100,50,0.6256573705179282
1556,10,100,0.6071713147410358
1556,50,100,0.6194422310756972
1556,150,100,0.6293227091633466
1556,100,10,0.5757768924302789
1556,100,20,0.591394422310757
1556,100,50,0.6192828685258964
1867,10,100,0.5921912350597609
1867,50,100,0.6388844621513944
1867,150,100,0.6554581673306773
1867,100,10,0.5832669322709163
1867,100,20,0.6098804780876494
1867,100,50,0.6487649402390439
2178,10,100,0.605418326693227
2178,50,100,0.638406374501992
2178,150,100,0.6430278884462152
2178,100,10,0.5752988047808765
2178,100,20,0.613386454183267
2178,100,50,0.6409561752988048
2490,10,100,0.6116334661354582
2490,50,100,0.6468525896414342
2490,150,100,0.6541832669322709
2490,100,10,0.5802390438247012
2490,100,20,0.6066932270916334
2490,100,50,0.637609561752988
2801,10,100,0.6127490039840637
2801,50,100,0.6361752988047809
2801,150,100,0.6353784860557768
2801,100,10,0.5791235059760956
2801,100,20,0.6027091633466135
2801,100,50,0.6352191235059761
3112,10,100,0.6160956175298805
3112,50,100,0.6500398406374502
3112,150,100,0.6549800796812749
3112,100,10,0.5805577689243028
3112,100,20,0.611792828685259
3112,100,50,0.650199203187251
3423,10,100,0.6229482071713147
3423,50,100,0.6490836653386454
3423,150,100,0.6458964143426295
3423,100,10,0.5819920318725099
3423,100,20,0.6113147410358566
3423,100,50,0.6419123505976095
3735,10,100,0.6119521912350597
3735,50,100,0.6353784860557768
3735,150,100,0.6352191235059761
3735,100,10,0.5816733067729084
3735,100,20,0.5961752988047809
3735,100,50,0.6401593625498008
4046,10,100,0.6237450199203187
4046,50,100,0.6498804780876494
4046,150,100,0.6525896414342629
4046,100,10,0.5861354581673307
4046,100,20,0.610199203187251
4046,100,50,0.6412749003984064
4357,10,100,0.6208764940239044
4357,50,100,0.6522709163346614
4357,150,100,0.6586454183266932
4357,100,10,0.5826294820717132
4357,100,20,0.616414342629482
4357,100,50,0.6487649402390439
4668,10,100,0.6218326693227092
4668,50,100,0.6489243027888446
4668,150,100,0.6557768924302789
4668,100,10,0.5848605577689243
4668,100,20,0.6113147410358566
4668,100,50,0.648605577689243
4980,10,100,0.6280478087649403
4980,50,100,0.6613545816733067
4980,150,100,0.6575298804780877
4980,100,10,0.5901195219123506
4980,100,20,0.6146613545816733
4980,100,50,0.6545019920318725
5291,10,100,0.6277290836653386
5291,50,100,0.6505179282868526
5291,150,100,0.6556175298804781
5291,100,10,0.5886852589641435
5291,100,20,0.6146613545816733
5291,100,50,0.6554581673306773
5602,10,100,0.6267729083665339
5602,50,100,0.648605577689243
5602,150,100,0.6505179282868526
5602,100,10,0.5909163346613546
5602,100,20,0.6116334661354582
5602,100,50,0.6527490039840638
5913,10,100,0.6317131474103586
5913,50,100,0.6575298804780877
5913,150,100,0.6572111553784861
5913,100,10,0.5904382470119522
5913,100,20,0.6143426294820717
5913,100,50,0.6565737051792828
311,10,100,0.5564940239043825
311,50,100,0.5635059760956175
311,150,100,0.5287649402390439
311,100,10,0.5703585657370518
311,100,20,0.5674900398406374
311,100,50,0.573386454183267
622,10,100,0.5797609561752988
622,50,100,0.6100398406374502
622,150,100,0.617211155378486
622,100,10,0.5603187250996016
622,100,20,0.5737051792828686
622,100,50,0.6089243027888446
933,10,100,0.5834262948207172
933,50,100,0.6127490039840637
933,150,100,0.6160956175298805
933,100,10,0.5834262948207172
933,100,20,0.5945816733067729
933,100,50,0.612589641434263
1245,10,100,0.6073306772908367
1245,50,100,0.6382470119521912
1245,150,100,0.6313944223107569
1245,100,10,0.5776892430278885
1245,100,20,0.5917131474103585
1245,100,50,0.6250199203187251
1556,10,100,0.6
1556,50,100,0.611792828685259
1556,150,100,0.6058964143426295
1556,100,10,0.5666932270916335
1556,100,20,0.5799203187250996
1556,100,50,0.6057370517928287
1867,10,100,0.6036653386454184
1867,50,100,0.6403187250996016
1867,150,100,0.6457370517928287
1867,100,10,0.5773705179282869
1867,100,20,0.6086055776892431
1867,100,50,0.6371314741035856
2178,10,100,0.6035059760956175
2178,50,100,0.6438247011952192
2178,150,100,0.6492430278884462
2178,100,10,0.5757768924302789
2178,100,20,0.6049402390438247
2178,100,50,0.6415936254980079
2490,10,100,0.6157768924302789
2490,50,100,0.6299601593625498
2490,150,100,0.6463745019920318
2490,100,10,0.5740239043824701
2490,100,20,0.6116334661354582
2490,100,50,0.6428685258964143
2801,10,100,0.6114741035856573
2801,50,100,0.6470119521912351
2801,150,100,0.6540239043824702
2801,100,10,0.5815139442231075
2801,100,20,0.6113147410358566
2801,100,50,0.64
3112,10,100,0.6186454183266932
3112,50,100,0.6471713147410358
3112,150,100,0.6415936254980079
3112,100,10,0.5819920318725099
3112,100,20,0.6076494023904383
3112,100,50,0.6315537848605578
3423,10,100,0.6165737051792829
3423,50,100,0.630597609561753
3423,150,100,0.640796812749004
3423,100,10,0.5826294820717132
3423,100,20,0.607011952191235
3423,100,50,0.6341035856573706
3735,10,100,0.6221513944223107
3735,50,100,0.6447808764940239
3735,150,100,0.6497211155378486
3735,100,10,0.5756175298804781
3735,100,20,0.6022310756972111
3735,100,50,0.630597609561753
4046,10,100,0.6081274900398407
4046,50,100,0.6396812749003984
4046,150,100,0.6481274900398406
4046,100,10,0.5800796812749004
4046,100,20,0.6052589641434263
4046,100,50,0.6390438247011953
4357,10,100,0.6202390438247012
4357,50,100,0.6519521912350598
4357,150,100,0.6581673306772908
4357,100,10,0.5819920318725099
4357,100,20,0.6081274900398407
4357,100,50,0.6460557768924303
4668,10,100,0.6258167330677291
4668,50,100,0.6463745019920318
4668,150,100,0.648605577689243
4668,100,10,0.5877290836653386
4668,100,20,0.6038247011952191
4668,100,50,0.6495617529880479
4980,10,100,0.6272509960159363
4980,50,100,0.6532270916334662
4980,150,100,0.6537051792828685
4980,100,10,0.5872509960159362
4980,100,20,0.6124302788844621
4980,100,50,0.6478087649402391
5291,10,100,0.6216733067729083
5291,50,100,0.6514741035856574
5291,150,100,0.6535458167330678
5291,100,10,0.5910756972111554
5291,100,20,0.6159362549800796
5291,100,50,0.6500398406374502
5602,10,100,0.6256573705179282
5602,50,100,0.6576892430278884
5602,150,100,0.6529083665338645
5602,100,10,0.5886852589641435
5602,100,20,0.610996015936255
5602,100,50,0.6516334661354581
5913,10,100,0.6250199203187251
5913,50,100,0.6522709163346614
5913,150,100,0.6540239043824702
5913,100,10,0.5866135458167331
5913,100,20,0.6145019920318725
5913,100,50,0.6537051792828685
